County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Gini.Coefficient,Teen.births,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,target
"Cherokee County, Georgia",Georgia,11.1,88.9,33.6,9.1,80.3,"(30000.0, 40000.0]",39.5,12.7,28.85,0.2,10.8,7.9,81.8,5.4,0.30000000000000004,1.65,1.7000000000000002,8.95,7.85,207789,0.41,29.7,0.16699999999999998,0.27899999999999997,0.08700000000000001,176.8,142.6,0.183,0.07200000000000001,94.58,1.5899999999999992,45.0,4.6,61.2,7.25,49.99593954432664
"Muskegon County, Michigan",Michigan,12.3,87.7,16.5,5.5,76.2,"(20000.0, 25000.0]",26.55,18.0,24.35,0.85,7.95,22.3,78.25,13.85,0.7000000000000001,0.5,2.05,29.25,8.4,173172,0.423,48.7,0.265,0.355,0.119,705.2,81.6,0.136,0.08800000000000001,437.18,2.89,65.6,7.5,47.9,17.35,-0.8792177814664015
"Harris County, Georgia",Georgia,11.5,88.5,27.4,10.7,82.45,"(30000.0, 40000.0]",42.55,11.8,26.3,0.55,9.75,9.1,77.0,17.7,0.30000000000000004,0.9,1.7000000000000002,11.55,11.1,30454,0.455,29.0,0.185,0.28200000000000003,0.127,223.2,149.4,0.14800000000000002,0.068,76.21,4.78,57.2,,47.1,9.6,47.883113714006825
"Jefferson County, Pennsylvania",Pennsylvania,13.1,86.9,12.0,3.9,71.85,"(20000.0, 25000.0]",22.95,17.2,21.75,0.9,13.0,24.3,98.0,0.25,0.2,0.2,0.7000000000000001,22.3,10.6,45082,0.43200000000000005,33.3,0.261,0.292,0.13,149.0,39.1,0.139,0.079,203.7,,76.0,7.9,29.1,13.5,59.81348714355022
"Providence County, Rhode Island",Rhode Island,21.0,79.0,25.6,10.1,78.4,"(25000.0, 30000.0]",33.3,19.2,25.4,0.15,7.5,14.5,67.65,7.1,0.4,3.45,3.3,23.95,11.5,628033,0.462,33.7,0.171,0.273,0.08900000000000001,527.7,312.3,0.153,0.11199999999999999,341.24,4.1,58.1,7.0,41.7,15.1,-21.17276890234084
"Kearney County, Nebraska",Nebraska,7.3,92.7,25.0,7.2,76.9,"(25000.0, 30000.0]",33.55,16.4,19.85,2.5,9.35,18.25,95.3,0.2,0.1,0.4,0.5,16.45,6.45,6519,0.40299999999999997,23.2,0.172,0.294,0.07400000000000001,75.9,,0.11,0.028999999999999998,76.97,,64.1,,43.5,9.2,60.7341147439852
"Edwards County, Illinois",Illinois,11.0,89.0,13.1,4.7,74.2,"(25000.0, 30000.0]",27.15,15.0,18.0,0.65,10.9,28.35,97.8,0.30000000000000004,0.1,0.25,1.0,25.1,12.2,6623,0.414,39.5,,0.273,0.09699999999999999,136.0,,0.119,0.08199999999999999,137.17,,107.4,,51.7,11.45,70.80314009661838
"Tarrant County, Texas",Texas,16.2,83.8,28.7,8.7,75.5,"(30000.0, 40000.0]",34.4,14.6,27.8,0.1,9.85,13.25,53.25,14.05,0.4,4.4,1.9,21.4,8.6,1756988,0.44799999999999995,52.7,0.158,0.27899999999999997,0.092,435.3,260.7,0.235,0.066,451.84,5.27,44.7,7.6,41.0,13.25,8.702355951432637
"Walker County, Texas",Texas,19.7,80.3,17.1,5.5,78.8,"(15000.0, 20000.0]",30.25,24.45,24.45,1.05,7.7,12.0,58.8,22.65,0.35000000000000003,0.95,1.1,29.7,8.35,65894,0.485,27.4,0.185,0.326,0.096,455.3,3764.1,0.28,0.067,391.65,4.77,56.4,5.3,17.8,22.95,34.51201544480009
"Amelia County, Virginia",Virginia,22.0,78.0,13.1,4.4,65.2,"(25000.0, 30000.0]",25.3,13.55,23.45,2.6,20.45,14.65,73.45,22.5,0.2,0.25,0.95,19.2,9.8,12635,0.40399999999999997,40.2,0.2,0.327,0.11199999999999999,335.8,64.0,0.19699999999999998,0.057,134.91,,87.9,,8.1,11.95,36.304193319118696
"Sandusky County, Ohio",Ohio,12.6,87.4,13.1,4.9,77.35,"(25000.0, 30000.0]",24.4,17.3,18.85,0.75,11.6,27.15,86.75,2.7,0.2,0.30000000000000004,1.6,22.1,6.8,60801,0.375,43.6,0.245,0.33899999999999997,0.118,294.7,60.1,0.131,0.07100000000000001,249.24,2.32,68.5,6.6,55.2,10.45,22.9602415335928
"Beaver County, Oklahoma",Oklahoma,16.4,83.6,17.9,4.3,71.35,"(25000.0, 30000.0]",26.5,14.6,21.35,5.5,17.4,14.7,78.3,0.35000000000000003,1.5,0.1,1.55,21.85,11.85,5473,0.411,34.1,0.28600000000000003,0.314,0.113,,,0.24600000000000002,0.025,106.39,,143.9,,30.3,12.3,80.95663835493966
"Yamhill County, Oregon",Oregon,13.2,86.8,23.0,8.4,76.3,"(25000.0, 30000.0]",31.1,16.75,24.9,2.85,9.85,14.6,80.1,0.75,1.05,1.2,2.8,22.85,8.0,97343,0.425,31.4,0.171,0.294,0.079,276.0,56.3,0.183,0.085,133.79,,55.1,6.2,30.9,12.8,8.764074829328834
"Dimmit County, Texas",Texas,39.0,61.0,12.6,2.6,70.15,"(15000.0, 20000.0]",23.9,26.45,21.8,2.25,14.0,11.55,13.2,0.65,0.05,0.85,0.1,62.95,23.3,9914,0.45,87.4,,0.306,0.10800000000000001,573.2,74.6,0.271,0.051,471.24,,72.7,,28.3,36.8,-37.17829457364341
"Harrison County, Mississippi",Mississippi,16.5,83.5,20.0,7.4,69.55,"(20000.0, 25000.0]",28.7,22.9,25.0,0.25,13.0,10.2,67.6,22.0,0.4,2.9,2.5,25.0,9.6,184003,0.444,59.7,0.27,0.342,0.121,579.5,354.9,0.225,0.08600000000000001,250.75,8.6,86.0,9.1,37.0,15.05,30.65758102970551
"Clay County, Iowa",Iowa,8.7,91.3,18.5,3.6,77.35,"(25000.0, 30000.0]",26.05,16.6,28.8,1.9,10.0,16.75,95.2,0.25,0.15,0.65,1.05,21.2,6.7,16671,0.452,33.6,0.201,0.29600000000000004,0.08600000000000001,289.3,,0.111,0.05,57.98,,62.2,,53.8,9.55,42.425661437602415
"Taylor County, West Virginia",West Virginia,16.6,83.4,14.5,3.4,78.7,"(20000.0, 25000.0]",26.25,17.1,25.6,0.65,13.85,16.55,97.1,0.8,0.2,0.35000000000000003,0.8,23.85,15.5,16541,0.416,44.5,0.256,0.32799999999999996,0.11699999999999999,136.0,41.6,0.188,0.07,11.84,,74.1,,57.9,14.6,49.52293013234842
"Perry County, Pennsylvania",Pennsylvania,14.6,85.4,14.0,4.3,71.2,"(30000.0, 40000.0]",26.9,12.85,26.85,0.8,13.65,19.0,96.95,0.6000000000000001,0.15,0.30000000000000004,0.9,15.15,6.75,45508,0.35600000000000004,32.2,0.139,0.308,0.103,258.5,71.4,0.14400000000000002,0.078,176.79,,67.1,5.3,29.9,9.05,51.92171323216566
"Stutsman County, North Dakota",North Dakota,14.3,85.7,22.7,5.2,74.95,"(25000.0, 30000.0]",34.85,20.3,21.45,1.6,9.15,12.6,95.15,0.45,1.6,0.45,0.85,15.3,14.8,20825,0.42100000000000004,22.9,0.172,0.298,0.083,213.7,,0.106,0.033,173.16,,67.7,,40.4,12.2,42.483397061783066
"Linn County, Kansas",Kansas,13.2,86.8,13.5,3.3,72.7,"(25000.0, 30000.0]",31.0,12.8,21.8,0.5,17.85,16.15,95.5,0.25,0.35000000000000003,0.55,1.65,15.2,11.05,9625,0.39,38.5,0.22699999999999998,0.337,0.107,145.7,,0.159,0.08700000000000001,290.95,,87.9,,32.3,9.65,62.07057723767236
"Beaverhead County, Montana",Montana,8.2,91.8,30.4,9.5,79.6,"(15000.0, 20000.0]",35.25,21.55,23.3,6.65,9.1,4.25,92.6,0.2,1.15,0.9,1.55,13.05,8.1,9066,0.434,16.4,0.11,0.24600000000000002,0.08199999999999999,108.7,,0.251,0.052000000000000005,185.85,,111.7,,80.7,14.55,45.33446953557734
"Troup County, Georgia",Georgia,20.7,79.3,19.4,6.9,75.8,"(20000.0, 25000.0]",28.0,18.1,23.25,0.30000000000000004,9.8,20.55,61.4,33.2,0.15,1.25,1.15,30.8,14.55,65229,0.43799999999999994,69.3,0.149,0.309,0.13699999999999998,641.9,162.9,0.212,0.10099999999999999,340.79,4.41,61.0,8.4,51.5,19.25,23.440468344124383
"Kossuth County, Iowa",Iowa,10.0,90.0,16.7,4.5,80.55,"(25000.0, 30000.0]",35.55,14.75,23.1,2.2,7.2,17.25,97.4,0.25,0.1,0.45,0.5,15.95,5.35,15519,0.441,18.1,0.155,0.311,0.104,103.9,,0.098,0.037000000000000005,131.37,,62.2,,43.4,8.65,36.5432098765432
"Hennepin County, Minnesota",Minnesota,7.9,92.1,44.0,14.7,78.35,"(30000.0, 40000.0]",44.65,14.7,26.2,0.15,4.95,9.35,73.4,10.9,0.75,5.85,2.65,17.9,7.25,1144324,0.476,27.3,0.141,0.21899999999999997,0.066,489.5,397.4,0.109,0.053,453.01,4.43,56.5,5.6,49.5,11.65,-35.31065467022675
"Kanabec County, Minnesota",Minnesota,12.9,87.1,13.9,3.4,75.95,"(25000.0, 30000.0]",24.9,18.5,21.95,1.4,15.0,18.2,95.9,0.4,0.6000000000000001,0.35000000000000003,1.45,16.0,11.95,16149,0.364,31.3,0.212,0.264,0.08,142.2,,0.114,0.098,315.27,,54.9,,42.9,12.25,35.72923076923078
"Cooper County, Missouri",Missouri,17.3,82.7,15.7,4.6,69.05,"(20000.0, 25000.0]",28.5,19.25,21.55,1.0,12.55,17.2,88.8,6.55,0.25,0.2,2.75,17.9,10.4,17486,0.397,37.9,0.316,0.293,0.111,277.4,130.3,0.162,0.068,134.23,,58.0,,41.9,13.4,46.27632898696087
"Randolph County, Georgia",Georgia,29.6,70.4,13.1,6.2,80.0,"(15000.0, 20000.0]",21.5,23.8,19.35,6.25,6.35,22.7,36.6,60.35,0.15,0.45,1.6,55.35,19.75,7489,0.5579999999999999,54.9,,0.365,0.162,740.9,209.8,0.21899999999999997,0.13699999999999998,136.82,,69.9,,75.6,27.0,-11.295336787564764
"McHenry County, North Dakota",North Dakota,14.5,85.5,14.3,2.8,76.2,"(25000.0, 30000.0]",30.55,14.85,23.0,3.6,13.55,14.4,97.25,0.05,0.4,0.2,0.9,18.1,17.75,5335,0.42100000000000004,21.9,0.18100000000000002,0.29600000000000004,0.094,127.2,,0.149,0.045,49.98,,88.9,,39.6,12.85,56.45701525865276
"Creek County, Oklahoma",Oklahoma,16.6,83.4,14.9,3.8,78.5,"(25000.0, 30000.0]",27.1,16.5,25.8,0.25,12.85,17.45,79.45,2.2,8.15,0.35000000000000003,7.05,26.7,9.8,69470,0.434,54.5,0.315,0.361,0.122,316.5,84.5,0.223,0.06,189.88,3.33,99.3,8.4,46.5,14.9,54.557771138747995
"Fayette County, Texas",Texas,21.0,79.0,17.6,4.2,71.9,"(25000.0, 30000.0]",29.85,16.8,22.4,1.55,12.6,16.7,74.65,6.45,0.25,0.4,0.7000000000000001,23.25,11.7,23587,0.446,38.7,,0.278,0.113,234.5,70.0,0.237,0.048,129.75,5.98,91.8,,37.1,11.05,59.12594070178619
"Shelby County, Iowa",Iowa,9.4,90.6,16.1,4.0,79.4,"(25000.0, 30000.0]",30.25,15.2,29.4,2.55,8.45,14.1,97.15,0.15,0.2,0.6000000000000001,0.5,13.95,9.85,12192,0.39899999999999997,18.0,0.205,0.319,0.105,166.1,,0.096,0.034,14.16,,56.8,,42.1,8.8,42.918660287081345
"Ventura County, California",California,17.7,82.3,30.8,11.2,79.15,"(30000.0, 40000.0]",37.1,15.6,26.05,3.0,8.3,9.85,50.3,1.65,0.30000000000000004,6.5,2.5,14.0,6.45,807815,0.435,34.0,0.121,0.21899999999999997,0.07100000000000001,297.7,124.2,0.185,0.09,222.88,3.53,44.5,6.1,53.2,9.1,-16.800322202409376
"Indian River County, Florida",Florida,13.7,86.3,26.7,9.8,73.35,"(25000.0, 30000.0]",30.75,20.6,25.0,1.75,13.35,8.5,78.55,8.45,0.2,1.15,1.2,23.6,6.65,134919,0.511,41.1,0.18899999999999997,0.218,0.11699999999999999,293.7,259.5,0.25,0.106,327.7,3.44,88.4,6.7,44.3,12.4,24.490281237092752
"Lexington city, Virginia",Virginia,18.7,81.3,44.4,23.7,93.35,"(0.0, 15000.0]",43.65,21.75,26.05,0.0,1.95,6.5,82.2,7.4,0.05,2.6,2.8,51.0,22.6,6975,0.514,6.2,,0.28800000000000003,0.091,371.7,90.1,0.185,0.114,37.71,,,,71.9,30.5,-30.55555555555556
"Maricopa County, Arizona",Arizona,14.4,85.6,29.0,10.3,73.5,"(30000.0, 40000.0]",35.15,16.9,27.75,0.2,10.6,9.4,58.85,4.4,1.6,3.15,2.0,22.35,7.2,3836319,0.452,51.1,0.158,0.228,0.08,429.5,287.5,0.196,0.07100000000000001,394.32,8.35,70.2,6.3,34.2,13.65,3.4465286779473843
"Carter County, Tennessee",Tennessee,23.1,76.9,14.9,5.1,71.5,"(20000.0, 25000.0]",25.9,18.0,24.9,0.15,12.45,18.65,95.4,1.45,0.15,0.2,1.35,43.0,15.55,58189,0.44,49.4,0.314,0.30000000000000004,0.14,225.6,92.5,0.18,0.08,218.43,3.71,79.3,9.6,30.0,22.45,64.04039441718668
"Transylvania County, North Carolina",North Carolina,13.9,86.1,27.0,10.3,75.75,"(20000.0, 25000.0]",28.4,21.5,21.8,1.65,14.4,12.2,91.15,4.45,0.30000000000000004,0.5,1.45,18.45,5.9,31488,0.44799999999999995,36.7,0.22699999999999998,0.237,0.098,335.2,93.8,0.209,0.096,179.52,,84.6,,59.4,14.8,22.48279816513761
"Burt County, Nebraska",Nebraska,9.6,90.4,18.3,4.9,80.75,"(25000.0, 30000.0]",34.3,16.95,22.4,3.55,10.05,12.75,95.4,0.30000000000000004,1.45,0.2,0.85,8.1,10.25,6952,0.414,20.2,0.173,0.314,0.11,73.5,,0.147,0.043,83.61,,83.3,,45.1,9.4,40.647175702526255
"New Madrid County, Missouri",Missouri,26.8,73.2,12.2,4.4,74.0,"(20000.0, 25000.0]",24.35,18.05,21.2,4.5,11.05,20.85,81.8,15.2,0.15,0.4,1.2,32.4,17.45,18339,0.471,67.4,0.267,0.332,0.124,282.2,73.7,0.16699999999999998,0.077,248.71,8.31,94.4,,35.1,21.75,45.38900979325353
"Franklin city, Virginia",Virginia,23.9,76.1,19.0,7.1,67.25,"(20000.0, 25000.0]",29.55,23.1,21.95,2.0,9.9,13.55,41.25,55.1,0.2,0.6000000000000001,1.75,38.7,16.35,8655,0.475,59.4,0.16399999999999998,0.34,0.12300000000000001,1280.9,460.4,0.159,0.102,396.24,,79.6,,52.2,22.3,-27.103960396039604
"Hickman County, Tennessee",Tennessee,25.5,74.5,10.6,3.8,72.25,"(20000.0, 25000.0]",22.15,18.2,21.9,1.05,17.15,19.45,92.2,4.5,0.4,0.15,1.3,18.55,14.5,24180,0.39899999999999997,61.9,0.377,0.337,0.12,200.8,73.6,0.18600000000000003,0.092,228.02,,80.0,13.6,33.3,16.9,49.75521772738986
"Alexander County, North Carolina",North Carolina,24.3,75.7,11.8,3.6,74.2,"(25000.0, 30000.0]",22.75,14.0,20.1,1.25,9.0,32.85,88.05,5.5,0.30000000000000004,1.05,1.2,20.85,16.9,36738,0.446,44.2,0.26,0.272,0.10800000000000001,213.0,97.9,0.195,0.10099999999999999,161.9,6.27,91.3,8.6,35.5,14.9,55.94359002831603
"DeKalb County, Alabama",Alabama,31.9,68.1,10.9,4.7,70.8,"(20000.0, 25000.0]",21.55,13.05,20.3,1.7000000000000002,12.9,30.45,83.5,1.45,1.05,0.25,1.6,37.8,17.05,69646,0.45399999999999996,60.4,0.18,0.324,0.129,207.4,76.2,0.233,0.085,169.35,2.68,78.3,7.7,17.7,20.45,69.37437706049221
"Jack County, Texas",Texas,21.1,78.9,10.5,2.4,70.65,"(25000.0, 30000.0]",25.6,16.9,24.45,0.45,16.9,15.65,80.9,4.15,0.8,0.35000000000000003,1.25,44.5,7.55,8867,0.42100000000000004,59.5,,0.28500000000000003,0.09699999999999999,132.8,192.9,0.258,0.045,125.54,,92.6,,39.4,17.55,79.6346211440551
"Rockingham County, Virginia",Virginia,22.1,77.9,21.9,8.2,73.4,"(25000.0, 30000.0]",28.85,14.7,22.8,2.4,12.5,18.8,91.75,1.65,0.1,0.55,0.9,13.95,8.05,74942,0.436,29.1,0.125,0.298,0.09699999999999999,130.6,71.3,0.182,0.053,65.51,,56.6,7.5,38.4,9.55,43.54061747317715
"Craig County, Oklahoma",Oklahoma,19.5,80.5,13.5,5.0,74.05,"(20000.0, 25000.0]",30.25,21.6,20.0,2.35,10.4,15.5,66.0,3.05,17.9,0.4,10.45,15.0,16.4,15054,0.4,67.6,0.21100000000000002,0.358,0.136,331.7,137.6,0.221,0.051,182.55,,96.4,,51.4,18.1,52.44029075804778
"Harrison County, West Virginia",West Virginia,15.9,84.1,17.6,6.0,73.75,"(25000.0, 30000.0]",30.85,18.0,27.35,0.45,11.45,11.9,95.1,1.5,0.15,0.55,1.5,34.75,8.95,68731,0.444,49.5,0.218,0.32,0.129,180.0,55.1,0.19399999999999998,0.063,278.94,5.44,85.0,7.6,32.1,18.9,39.51485574852878
"Pondera County, Montana",Montana,13.4,86.6,19.3,5.0,73.85,"(15000.0, 20000.0]",36.25,20.2,19.5,3.0,10.15,10.9,81.1,0.4,15.4,0.1,1.55,45.8,10.9,6031,0.45,34.9,0.188,0.29,0.09,143.8,,0.258,0.055999999999999994,159.74,,100.9,,38.3,22.55,38.82309400444116
"Camden County, New Jersey",New Jersey,14.6,85.4,27.9,10.0,79.2,"(30000.0, 40000.0]",36.65,16.65,27.75,0.1,7.6,11.2,61.75,18.3,0.2,4.8,1.8,19.3,8.35,515297,0.44299999999999995,37.4,0.192,0.275,0.09300000000000001,588.0,397.9,0.14,0.106,621.62,9.02,61.5,9.1,63.6,11.3,-32.36979272989561
"Lyon County, Nevada",Nevada,14.2,85.8,12.7,4.2,76.4,"(25000.0, 30000.0]",21.8,18.55,26.8,0.5,11.95,20.35,78.35,0.65,2.2,0.85,3.25,10.8,5.4,51455,0.395,39.1,0.249,0.309,0.096,246.8,69.4,0.22899999999999998,0.14800000000000002,222.86,,80.8,,27.8,12.1,41.49061526807509
"Lake County, Ohio",Ohio,9.3,90.7,24.2,7.8,79.95,"(30000.0, 40000.0]",33.1,15.05,27.7,0.2,7.8,16.15,91.3,2.85,0.1,1.2,1.2,17.2,4.4,232337,0.405,21.7,0.205,0.28300000000000003,0.11199999999999999,232.3,64.2,0.131,0.064,182.55,1.5,51.1,6.1,45.4,7.9,15.578508733043705
"Dillon County, South Carolina",South Carolina,34.2,65.8,9.2,3.0,71.45,"(20000.0, 25000.0]",19.1,16.7,22.45,2.2,11.75,27.85,47.6,45.65,2.0,0.15,1.8,56.8,23.9,31419,0.46,76.5,0.21100000000000002,0.39799999999999996,0.141,1036.0,425.3,0.21600000000000003,0.14300000000000002,1411.36,10.87,81.5,6.1,41.6,30.15,-1.6672366621067098
"Alexandria city, Virginia",Virginia,9.1,90.9,60.4,29.1,66.8,"(40000.0, 100000.0]",57.8,14.2,18.6,0.05,4.8,4.55,55.25,21.1,0.2,5.6,2.85,9.0,8.45,141048,0.45799999999999996,45.4,0.092,0.195,0.064,389.5,1070.5,0.141,0.046,190.53,4.11,33.1,4.9,56.1,7.45,-59.026134652613464
"Clark County, Wisconsin",Wisconsin,19.3,80.7,11.3,3.4,66.85,"(25000.0, 30000.0]",27.25,15.45,18.45,3.35,10.05,25.4,95.5,0.25,0.55,0.35000000000000003,0.55,18.25,12.15,34091,0.411,23.4,0.213,0.294,0.081,158.3,32.7,0.18,0.07100000000000001,223.17,,60.8,6.7,27.0,12.75,32.624741659285505
"Washburn County, Wisconsin",Wisconsin,10.3,89.7,18.7,6.4,71.5,"(25000.0, 30000.0]",30.25,17.3,21.5,1.45,11.85,17.6,95.8,0.55,1.05,0.35000000000000003,1.05,13.1,9.0,16247,0.408,31.6,0.231,0.306,0.10099999999999999,125.7,,0.122,0.08,73.98,,71.3,,44.8,13.05,23.413180262722157
"Menifee County, Kentucky",Kentucky,31.2,68.8,10.3,4.1,73.85,"(20000.0, 25000.0]",22.9,13.75,25.35,0.6000000000000001,5.95,31.6,95.8,1.25,0.05,0.4,1.85,40.2,20.95,6496,0.433,51.3,0.361,0.358,0.149,332.4,150.7,0.217,0.124,36.03,,118.3,,53.3,19.7,47.122302158273385
"Rapides Parish, Louisiana",Louisiana,17.9,82.1,19.4,6.2,73.65,"(20000.0, 25000.0]",32.3,20.15,25.0,0.75,10.35,11.4,62.95,31.4,0.65,1.05,1.5,31.45,12.75,131870,0.472,58.4,0.23399999999999999,0.34500000000000003,0.14,797.7,369.1,0.209,0.063,765.93,8.59,69.3,11.0,48.2,18.15,32.54160948661107
"Hancock County, Illinois",Illinois,9.9,90.1,19.1,5.9,78.4,"(25000.0, 30000.0]",28.6,17.15,21.45,1.95,9.75,21.1,97.4,0.25,0.25,0.25,0.85,18.15,11.45,18912,0.419,39.8,0.272,0.281,0.10099999999999999,236.5,,0.127,0.092,90.94,,56.2,,40.6,12.55,50.76745970836532
"Adair County, Kentucky",Kentucky,31.3,68.7,14.4,7.8,76.45,"(15000.0, 20000.0]",25.15,18.25,25.0,0.6000000000000001,11.7,19.3,94.25,3.2,0.15,0.35000000000000003,1.0,21.3,29.2,18264,0.462,41.5,0.34,0.33899999999999997,0.125,230.1,,0.213,0.077,52.44,,77.6,,33.3,21.25,64.56080670635404
"Goodhue County, Minnesota",Minnesota,9.8,90.2,22.7,6.3,75.1,"(30000.0, 40000.0]",31.3,16.9,22.9,1.95,10.2,16.8,94.0,0.95,1.0,0.65,1.1,15.65,7.7,45894,0.39899999999999997,24.7,0.193,0.28,0.084,207.7,22.5,0.098,0.054000000000000006,107.99,,85.8,,46.5,8.0,17.992795050512946
"Forsyth County, North Carolina",North Carolina,13.1,86.9,31.2,10.3,77.25,"(25000.0, 30000.0]",37.05,16.3,25.3,0.2,8.65,12.55,60.4,25.25,0.30000000000000004,1.65,1.45,27.45,7.15,348760,0.47,44.0,0.19699999999999998,0.26,0.10099999999999999,765.7,437.7,0.187,0.09,563.58,6.44,58.6,10.0,43.5,15.0,-10.257435843926991
"Sierra County, New Mexico",New Mexico,16.1,83.9,16.8,5.4,66.6,"(20000.0, 25000.0]",24.9,21.5,27.9,0.95,18.65,6.1,67.7,0.30000000000000004,0.85,0.2,2.05,53.05,13.0,12316,0.467,67.9,0.245,0.233,0.106,351.7,119.7,0.231,0.062,454.87,,140.8,,46.3,23.95,27.150903087978246
"Halifax County, Virginia",Virginia,27.1,72.9,13.2,6.0,74.8,"(25000.0, 30000.0]",27.7,16.5,23.0,0.8,10.0,21.95,60.25,36.65,0.2,0.35000000000000003,1.0,26.8,20.55,35850,0.473,44.5,0.21100000000000002,0.326,0.14300000000000002,540.8,248.5,0.165,0.094,123.73,6.68,94.7,13.3,32.9,19.25,16.570282072465474
"Otero County, Colorado",Colorado,20.2,79.8,15.4,5.0,75.6,"(20000.0, 25000.0]",33.25,20.05,24.45,3.25,7.75,11.2,56.95,0.5,0.9,0.75,1.25,30.15,12.4,18832,0.439,58.9,0.204,0.255,0.075,339.3,63.0,0.195,0.095,295.68,,82.9,,46.7,21.6,25.188566891623644
"Hardee County, Florida",Florida,40.1,59.9,7.5,2.3,63.2,"(20000.0, 25000.0]",19.15,16.8,16.4,17.35,18.4,11.9,48.25,6.9,0.15,1.9,0.7000000000000001,34.8,20.4,28207,0.408,92.3,0.209,0.369,0.132,380.1,431.8,0.326,0.092,312.53,5.23,73.4,6.9,18.0,24.5,40.79450970040913
"Morgan County, West Virginia",West Virginia,15.9,84.1,12.7,3.3,77.0,"(25000.0, 30000.0]",23.95,18.15,20.25,0.75,19.3,17.65,96.8,0.45,0.2,0.35000000000000003,1.1,13.0,10.85,16922,0.418,35.4,0.252,0.32299999999999995,0.126,85.5,56.8,0.21100000000000002,0.073,127.39,,76.9,,35.7,15.8,54.35494433529796
"Fremont County, Wyoming",Wyoming,11.2,88.8,22.8,8.5,71.05,"(20000.0, 25000.0]",33.75,19.6,21.85,1.3,13.65,9.9,71.95,0.4,19.35,0.55,2.1,22.45,7.0,38777,0.43200000000000005,71.2,0.22699999999999998,0.256,0.09,556.9,62.4,0.221,0.066,164.93,9.72,131.8,11.4,48.6,14.05,42.114489512180384
"Alleghany County, North Carolina",North Carolina,28.6,71.4,16.1,5.0,64.75,"(15000.0, 20000.0]",24.25,10.65,18.1,17.4,12.95,16.6,85.25,0.95,0.1,0.4,1.4,50.45,13.3,11030,0.476,53.8,0.271,0.247,0.114,208.1,,0.272,0.106,,,95.6,,30.2,26.35,47.736862293824345
"Pendleton County, West Virginia",West Virginia,20.1,79.9,13.1,4.7,64.8,"(20000.0, 25000.0]",23.75,18.25,20.15,3.85,14.25,19.8,95.1,2.6,0.25,0.5,0.95,23.65,19.95,7636,0.414,30.6,0.158,0.34800000000000003,0.14300000000000002,65.2,74.3,0.217,0.062,,,100.3,,0.0,15.2,51.743462017434624
"Mayes County, Oklahoma",Oklahoma,16.6,83.4,11.9,3.5,72.45,"(25000.0, 30000.0]",26.55,14.75,22.6,0.9,15.1,20.05,68.1,0.5,14.9,0.4,13.45,22.75,12.0,40462,0.406,61.2,0.28400000000000003,0.36,0.13699999999999998,241.6,46.0,0.244,0.061,300.94,4.59,108.3,8.1,36.5,16.45,51.72479633401222
"Washington County, Kentucky",Kentucky,19.4,80.6,12.8,5.2,74.35,"(20000.0, 25000.0]",26.1,14.55,16.55,4.1,11.8,26.9,88.95,6.85,0.1,0.15,1.15,15.9,17.15,11541,0.41700000000000004,34.6,0.21,0.331,0.135,489.6,,0.16899999999999998,0.08600000000000001,56.81,,101.9,,19.5,15.55,46.05683836589699
"Union County, South Carolina",South Carolina,24.4,75.6,12.9,3.7,77.05,"(20000.0, 25000.0]",26.2,17.7,19.55,0.30000000000000004,11.8,24.45,66.45,31.0,0.2,0.15,1.3,27.9,17.85,28380,0.45399999999999996,71.4,0.258,0.359,0.145,791.5,234.5,0.185,0.14,698.89,5.39,68.7,9.7,60.2,20.15,19.285182427401338
"Rockcastle County, Kentucky",Kentucky,31.5,68.5,11.6,4.9,75.0,"(20000.0, 25000.0]",26.25,13.05,25.95,0.6000000000000001,9.65,24.6,98.0,0.4,0.2,0.15,0.6000000000000001,41.45,29.9,16808,0.503,54.7,0.276,0.374,0.127,105.5,,0.193,0.091,88.55,,107.7,,35.2,29.95,70.1854066985646
"Schoolcraft County, Michigan",Michigan,13.5,86.5,13.2,4.4,74.3,"(20000.0, 25000.0]",27.65,26.15,18.85,1.35,11.75,14.25,87.2,1.15,7.25,0.30000000000000004,3.7,39.95,9.75,8449,0.44,29.8,,0.275,0.113,58.9,,0.17,0.125,263.19,,83.3,,42.0,17.55,28.595519152011562
"Lee County, Virginia",Virginia,28.5,71.5,12.0,3.8,71.3,"(20000.0, 25000.0]",24.2,17.15,25.95,1.25,14.2,17.3,94.7,3.25,0.2,0.2,0.55,44.8,18.85,25294,0.426,54.9,0.254,0.33,0.111,115.3,73.4,0.163,0.083,117.33,7.32,91.2,,29.2,21.95,63.24174061798354
